label-coarse,text
1,What video format was an alternative to VHS ?
OTHERS,Where did the term `` 69 '' come from ?
1,What is money made of ?
5,What 's the name of a hotel in Indianapolis ?
4,How many people in Tucson ?
5,Where is Melbourne ?
OTHERS,With whom did Bush compare Saddam Hussein ?
5,What country was Mikhail Gorbachev the leader of ?
4,"What is the recommended weight of a 15 year-old male that is 5 , 6 ?"
OTHERS,What pillar of the Dutch Renaissance painted Aristotle Contemplating the Bust of Homer ?
5,What is the largest county in size in Massachusetts ?
OTHERS,What is the name of the brilliant British economist behind its creation ?
OTHERS,Who played Sally Rogers on The Dick Van Dyke Show ?
OTHERS,What is it like to experience a near death episode ?
OTHERS,What mythical figure carries an hourglass and a scythe ?
4,How much is a Canadian 1967 twenty dollar gold coin worth ?
OTHERS,Why didn 't European colonial rule spread until after the first and second industrial revolutions ?
5,What natural attractions draw the most visitors in the United States ?
OTHERS,What presidential administration challenged Americans to explore The New Frontier ?
4,How many years did Sleeping Beauty sleep ?
4,How long does it take for your body to restore blood after you donate your blood ?
OTHERS,How do I know someone is truly in love with me ?
1,Which of many numbered vats of Scotch was judged best by a panel of experts in 1863 ?
OTHERS,What is literary criticism ?
OTHERS,How do you throw a housewarming party ?
1,What international sport was originally called hurley ?
5,What river runs through Liverpool ?
OTHERS,What famous British actor lost his voice after an operation in 1966 ?
OTHERS,What does the term 3 mean to a newspaper editor ?
OTHERS,What company makes impulse hardening equipment ?
5,What country was Kim Philby really working for ?
OTHERS,What does Freddy Freeman say to become Captain Marvel Jr. ?
5,What country was Hitler the chancellor of ?
OTHERS,What is Rona Barrett 's married name ?
4,How many years make up a lustrum ?
1,What are close encounters of the first and second kind ?
OTHERS,Who is the mathematician that won the Noble Prize for Literature in 1950 ?
OTHERS,Which glamorous actress is a close friend of Dick Tracy ?
1,What 1956 Grace Metalious novel was on the best-seller list for two years ?
4,How old is the Italian artist Maurizio Pellegrin ?
OTHERS,"What President hit the jogging paths to enhance his athletic image and , sporting No. 39 , almost collapsed during the road race ?"
OTHERS,What is the distinction of Erle Stanley Gardner 's The Case of the Terrified Typist ?
5,What North American city would you visit to see Cleopatra 's Needle ?
5,Where can I find an Ask An Expert site ?
OTHERS,What writer-journalist made his mark describing colorful Broadway and underworld characters ?
5,What U.S. state has the lowest highest elevation at 6 feet ?
OTHERS,What are the residents of the island of Lesbos called ?
1,What is the organizational structure of the New Delhi Indira Gandhi airport ?
1,"At Christmas time , what is the traditional thing to do under the mistletoe ?"
OTHERS,What baseball great plugged Mr. Coffee ?
1,What international amateur sports spectacle was first telecast in 1956 ?
OTHERS,Who 's baby was Sweet Pea on the Popeye cartoon ?
5,Where is Mile High Stadium ?
1,"What were Baffin , Frobisher and Franklin looking for ?"
OTHERS,What is limbo ?
5,What city contains the district of Hell 's Kitchen ?
1,What interesting method was used to run the credits in the early Popeye cartoons ?
1,What are the stars made of ?
OTHERS,"What English physician was born on January 18 , 1779 and went on to create two important inventions ?"
OTHERS,"Who did Arthur H. Bremer try to assassinate on May 15 , 1972 ?"
OTHERS,What apostle is Taylor Caldwell 's Great Lion of God ?
4,How many rings are there on a five-zone archery target ?
1,"What anesthetic did Queen Victoria allow to be used for the birth of her seventh child , in 1853 ?"
5,Which one of the Great Lakes is entirely within U.S. territory ?
2,What is DEET ?
OTHERS,What company sells the most greeting cards ?
5,What U.S. state has sagebrush as its state flower ?
OTHERS,What is the Bernoulli Principle ?
OTHERS,What 's comic strip photographer Peter Parker 's secret identity ?
OTHERS,What is difference between a poster and a print ?
1,In which sport is there a `` scrum '' ?
1,What are the best ways to improve employee morale at low cost ?
5,What nationality is Pope John Paul II ?
OTHERS,What is false consciousness ?
OTHERS,How did the Great Depression affect Japan 's history ?
1,Which side should a bowler facing a 37803 split hit the 3-pin on-the left or the right ?
5,Where are some great educational resources for parents and teachers ?
4,How many Israeli athletes were killed at the Munich Olympics ?
1,What is the Scotch `` for people who know the difference '' ?
4,When was Richard Nixon born ?
4,What is the recomended age to switch a child from a crib to a bed ?
OTHERS,Which Rockefeller was sometimes called `` JDR3 '' ?
4,When is the Sun closest to the Earth ?
OTHERS,What are some chemical properties of mendelevium ?
4,What is the average hours per months spent online by AOL users ?
OTHERS,Whom did Friz Freleng add to the Warner Bros. cartoon ranks ?
OTHERS,What is the origin of the word `` sideburns '' ?
1,The trials resulting from World War II are known as what ?
1,What started in 1849 when gold was discovered at Sutter 's Mill ?
OTHERS,What is a First World country ?
5,What country was Erich Honecker the leader of ?
OTHERS,How does salt melt ice and snow ?
5,"What two Japanese cities are spelled with the letters K , O , O , T and Y ?"
OTHERS,What does laser stand for ?
OTHERS,Who taught Matt Murdock to use his extraordinary abilities in Marvel comics ?
5,Where did Wile E. Coyote always get his devices ?
4,How far away is the moon ?
OTHERS,What famous film and TV cowboy lent his name to a fast food chain ?
OTHERS,What is mandibulofacial dysostosis ?
OTHERS,What was the reason for the partition of the Anglican and Vatican churches ?
OTHERS,What is Butterfield 8 in Butterfield 8 ?
OTHERS,Who famously rode to warn the people of Massachusetts that the British were coming ?
2,What is DTMF ?
1,"Name a movie that the actress , Sandra Bullock , had a role in ."
1,"What blew up at Lakehurst , New Jersey , on May 6 , 1977 ?"
OTHERS,Who commanded the French forces at the Battle of Orleans ?
5,Where can an individual get a contact lens tested that burned the entire surface of eye when new ?
5,What countries does the Mont Blanc Tunnel join ?
1,What ill-fated craft was captained by Ernst Lehmann ?
4,When did Amtrak begin operations ?
4,How many bones are in the human hand ?
4,How many chemical elements are there ?
5,What eastern state sprouted the first commercial nuclear power plant in the U.S. ?
5,What are the three most populated countries in the world ?
OTHERS,Who led the opposition when Konrad Adenauer was Chancellor in Germany ?
4,"What is the current population for these countries : France , Spain , Italy , Greece , Austria , Germany , Switzerland , the Netherlands ?"
4,What is the youngest age a boy or girl can have an orgasm ?
1,What color is the lipstick on Boy George 's wax lips at London 's Madame Tussaud 's ?
OTHERS,What is the origin of the candy cane at Christmas ?
1,What is the brand name of a chemical used to control ripening ?
1,What terror of the sea did Johnny Horton sing about ?
5,What is the largest office block in the world ?
OTHERS,Who turned all he touched to gold ?
1,What is the medical term for cancer of the blood ?
OTHERS,Who plays shortstop for Charlie Brown 's baseball team ?
5,What country did the Romans call Hibernia ?
OTHERS,Who was the most famous food editor of The New York Times ?
4,How many dogs pull a sled in the Iditarod ?
1,What 's a male witch called ?
4,How long does cocaine stay in your system ?
5,What two countries fought the Hundred Years ' War ?
OTHERS,Who was the last U.S. president to reinstate Selective Service registration ?
4,"On which dates does the running of the bulls occur in Pamplona , Spain ?"
OTHERS,What was the name of the lawyer who represented Randy Steven Craft ?
OTHERS,What happens to used motor oil ?
1,What is the most commonly used 1 letter word in the English language ?
OTHERS,What actress 's autobiography is titled Shelley : Also Known as Shirley ?
4,How many colors was the 1940s collectible called a Donald Duck Rubber Boat ?
OTHERS,How did the 7th inning stretch get started ?
OTHERS,Who lived on the shores of the Gitchee Gumee River ?
1,What did Tristan come back as ?
5,What country will hit the year 2 first ?
1,What colors make up a rainbow ?
1,What war did Johnny Reb and Billy Yank fight ?
OTHERS,What is Goldfinger 's first name ?
5,What square is the geographical center of London ?
OTHERS,Which of the following famous people does not paint as a hobby ?
5,What is the most populated city in the world ?
4,How many pitchers occupy the shelf beside the crouching woman in Edgar Degas 's 1886 painting The Tub ?
4,What is the cost of the drugs used in tuberculosis treatments ?
2,What does JESSICA mean ?
1,What famed gangland slaughter cut into the membership of Bugs Moran 's outfit ?
1,Ray Charles is best known for playing what instrument ?
5,Where did Victor Hugo spend his exile ?
OTHERS,"What was Nine Tailors , the television show from 1974 , about ?"
1,What food of the three bears did Goldilocks eat ?
OTHERS,What is Boston Kreme ?
OTHERS,Who should I call to get a tour of the New York Stock Exchange ?
4,How many airline schools are there in the U.S. ?
OTHERS,"What U.S. general died December 1 , 1945 , when his jeep collided with a truck ?"
4,How many major Nazi leaders went on trial after the war at Nuremberg ?
1,What kind of fish is a coney ?
5,What state did Helen Keller call home ?
OTHERS,What was the name of the director of the movie `` Jaws '' ?
OTHERS,What steps can be taken to prevent diabetes ?
OTHERS,What were the first words spoken on a film sound track ?
4,What year is etched on the Gold Medal of Excellence from the Paris Exposition depicted on a can of Campbell 's tomato soup ?
1,What film was Jude Law in ?
OTHERS,Who portrayed W.C. Fields in the film W.C. Fields and Me ?
1,What were the ceremony traditions like during the Elizabethian times ?
OTHERS,Which college did Dikembe Mutombo play basketball at ?
1,What is a fear of going to bed ?
OTHERS,Why does sound travel quicker through water than air ?
4,How much money does the Sultan of Brunei have ?
5,What country would you visit to ski in the Dolomites ?
4,What month 's third weekend is the Monterey Jazz Festival held on ?
OTHERS,What is the `` Global Economy '' ?
OTHERS,Who built the first successful stern wheel steamboat ?
OTHERS,What is a caul ?
OTHERS,Who was Hitler 's minister of propaganda ?
OTHERS,Who was the first doctor to successfully transplant a liver ?
OTHERS,What does the theory of quantum leaps mean in simpler terms ?
OTHERS,What is a bone marrow transplant ?
OTHERS,What is the difference between a classical and an acoustic guitar ?
1,What is the name of a language spoken by the Sioux ?
5,What Mediterranean island is home to the first Club Med ?
1,What does an edentulous smile lack ?
1,What is a fear of jealousy ?
5,Where can you find the Venus flytrap ?
1,What is the largest sculpture in the world ?
4,When was John D. Rockefeller born ?
5,What building built in 18 contains 327 miles of book shelves ?
OTHERS,What is home banking ?
1,What William Makepeace Thackeray novel was made into a film by Stanley Kubrick ?
OTHERS,Who was the lawyer for Randy Steven Craft ?
OTHERS,How do hermit crabs reproduce ?
OTHERS,Who is reputed to be the greatest maker of violins ?
OTHERS,How do you stop junk snail mail ?
OTHERS,What future Soviet dictator was training to be a priest when he got turned on to Marxism ?
4,How long does James Bond like his eggs boiled ?
5,What U.S. city 's skyline boasts the Gateway Arch ?
1,What did Thomas Paine write ?
OTHERS,Who sued the Dannon yougurt company for using a character named Ron Raider for promotion ?
OTHERS,Who was the first jockey to ride two Triple Crown winners ?
1,What Lewis Carroll book introduced Humpty Dumpty to the world ?
OTHERS,Who wrote Brave New World ?
5,What state does Charles Robb represent ?
OTHERS,What is hydroelectricity ?
4,How many people are taller than 7 feet ?
OTHERS,Who wrote Unsafe at Any Speed ?
4,How many islands make up Antigua ?
OTHERS,How does an abacus work ?
OTHERS,What causes rust ?
1,What is the fear of the computer called ?
1,What is a technique popularly used to detect birth defects ?
5,"What U.S. state boasts Stone Mountain , the world 's largest mass of exposed granite ?"
OTHERS,What British commander surrendered to George Washington at Yorktown in 1781 ?
OTHERS,"What according to the Kinsey Institute , is the sexual preference of four percent of American males ?"
OTHERS,"Who created the World Wide Web , WWW ?"
1,What is the procedure called for drilling a hole in your skull to acheive a higher consciousness ?
OTHERS,What is the name of the president of Garmat U.S.A ?
1,"What was the name of the television show , starring Karl Madsen , that had San Francisco in the title ?"
OTHERS,Who were leaders of the Byzantine empire ?
OTHERS,Who was the first President to appoint a woman to head a cabinet ?
OTHERS,What is splatterpunk ?
OTHERS,What is the orgin of xoxoxox ?
OTHERS,Who built the first pyramid ?
5,What southeast Asian country has the Wang River joining the Ping River at Tak ?
5,"What Italian city of 155 were Leonardo da Vinci , Michaelangelo , and Machiavelli all working in ?"
1,What color tennis balls are used at Wimbledon ?
1,What is a 2-sided object called ?
OTHERS,Name a French fascist party .
1,Name the French historical period during the reign of Napoleon III .
1,What movie has made the most money ?
OTHERS,What is time ?
4,How many states have a lottery ?
5,"What is the name of the largest city in Chile , South America ?"
1,What are you caught in if a haboob blows up ?
4,What ratio of children of ages between two and eleven watch ` The Simpsons ' ?
4,How many cities are there in Utah ?
OTHERS,What famous meat company went out of business because it became known that the underworld had been selling them kangaroo meat ?
4,How many visitors go to the Vatican each year ?
OTHERS,How do you get silly putty out of fabric ?
5,What is the best online games site ?
OTHERS,Why is the word `` abbreviation '' so long ?
4,What century did art 's Romantic Period begin in ?
4,How many spaces follow a period at the end of a sentence ?
OTHERS,What is a cake of soap ?
4,In what year was the Berlin Wall erected ?
4,What is the weight of a teaspoon of matter in a black hole ?
5,On what avenue is the original Saks department store located ?
5,Where does the song Anything Goes take place ?
5,Where was the first zoo in the U.S. ?
4,How far is Yaroslavl from Moscow ?
1,What is April 's gemstone ?
OTHERS,What is the present Pope named ?
OTHERS,Who is the nebbish that is Marvel 's official mascot ?
1,What is one of the languages spoken by the Sioux called ?
OTHERS,Who sang the song `` Hooked on a Feeling '' in the dancing baby episode of `` Ally Mcbeal '' ?
1,In what ways did Ivan IV support Russian expansion ?
4,Approximately how much does a teaspoon of matter weigh in a black hole ?
5,What country 's flag is field green ?
1,What sport is known for hooligans ?
OTHERS,"Who was the Columbia Pictures head who forged actor Cliff Robertson 's name on a $1 , 000 check ?"
OTHERS,Who was Damocles ?
1,What sport was the first televised in the U.S. ?
OTHERS,What are the lyrics to `` Smelly Cat '' ?
4,How much folic acid should a pregnant woman get each day ?
4,What year was the first automobile manufactured ?
4,How many colonies did Germany get to keep after World War I ?
4,How many states have a `` lemon law '' for new automobiles ?
OTHERS,Whose biography by Maurice Zolotow is titled Shooting Star ?
1,What concerts are held in New York this week ?
OTHERS,In the movie Groundshog Day what is the name of the character played by Andie MacDowell ?
OTHERS,What are the requirements for becoming a citizen of Australia ?
4,How old is Benny Carter ?
OTHERS,What are the top ten all-time money making NFL teams ?
1,What were hairy bank notes in the fur trade ?
5,Where can I read about Chiang Kai-shek ?
OTHERS,What is idealab ! ?
2,What does the E stand for in the equation E=mc2 ?
1,Which airplane did Fawaz Younis hijack ?
OTHERS,What is Win Rah ?
OTHERS,Why is the moon different sizes and colors ?
OTHERS,"What college enlivens Hanover , New Hampshire ?"
2,What does VCR stand for ?
OTHERS,How close a cousin was Franklin D. to Theodore Roosevelt ?
1,Name a novel written by John Steinbeck .
OTHERS,Who was the first American citizen awarded the Albert Medal of the Society of Arts ?
OTHERS,What doctor is synonymous with footwear and foot care ?
4,"What are the shoe sizes of O 'Neal , Jordan , and Mutombo , the NBA players ?"
OTHERS,Who founded the Unification Church ?
4,How many zeros are there in a trillion ?
1,"What was the name of the Crimean meeting of Roosevelt , Churchill , and Stalin ?"
OTHERS,What are the only players eligible to score points in Roller Derby called ?
4,What are the statistics for drunken drivers in Maryland ?
OTHERS,What ill-fated American general dragged a bull terrier named Willie through World War II ?
4,What 's the score of a forfeited baseball game ?
5,Where does tuberculosis come from ?
OTHERS,Who invented the lawnmower ?
5,Where can I find lyrics for R&B ?
OTHERS,What U.S. senator once played basketball for the New York Knicks ?
1,What are the titles of some R-Rated Sony Playstation games ?
1,What playing card symbolizes death ?
OTHERS,What is an urban legend ?
OTHERS,What is Li 'l Abner 's last name ?
4,How many liberty bells have there been ?
OTHERS,What is Smartnet ?
1,What is a synonym for aspartame ?
5,Jackson Pollock is of what nationality ?
OTHERS,"What are vermicilli , rigati , zitoni , and tubetti ?"
1,"Name the product that is `` at your grocer 's , at your fingertips . ''"
OTHERS,"What architect originated the glass house designed the Chicago Federal Center had a philosophy of `` less is more , '' and produced plans that were the forerunner of the California ranch house ?"
4,How many Russians have landed on the moon ?
1,Which thrilled taste buds first - Snickers or 3 Musketeers ?
1,What animal do buffalo wings come from ?
OTHERS,What is the purpose of the SysRq key on my computer keyboard ?
4,When was Franklin D. Roosevelt stricken with polio ?
OTHERS,How do you find out what is allowed to claim as a contibution for income tax purposes ?
OTHERS,How do you build a solar car for a high school experiment ?
5,Where on the Internet can I get chemicals importers ?
5,What was the first country to put a second woman in space ?
1,"What was the 24-disc John Gabel Entertainer the first example of , in 1960 ?"
OTHERS,What is the feudal system ?
OTHERS,Who shared a New York City apartment with Roger Maris the year he hit 61 home runs ?
1,What 's the geographic term for the submerged fringe of a continent ?
5,"What prison is found in Ossining , New York ?"
OTHERS,What is the main application of sodium hydrosulfite ?
1,Name the story by Chris Van Allsburg in the which a boy tries to become a great sailor ?
1,What are the components of polyester ?
1,What product features a frog that says `` dig 'em '' ?
OTHERS,Who is the director of intergovernmental affairs for the San Diego county ?
OTHERS,What Hall of Fame pitcher started three World Series Games for the New York Yankees in 1962 ?
5,What is the longest river in the United States ?
2,What does the channel ESPN stand for ?
5,What river is Windsor Castle on ?
1,What is the best brand for a laptop computer ?
5,"Where is Natchitoches , Louisiana ?"
OTHERS,What do pointed letters mean to a handwriting analyst ?
OTHERS,What political party is Sinn Fein a part of ?
1,What was Franklin Roosevelt 's program for economic recovery called during the Great Depression ?
OTHERS,What is the name of a Greek god ?
5,What 's the capital of Taiwan ?
1,What did Englishman John Hawkins begin selling to New World colonists in 1562 ?
4,What is the starting salary for beginning lawyers ?
OTHERS,What was the man 's name who was killed in a duel with Aaron Burr ?
4,What will the California gas tax be in the year 2000 ?
OTHERS,Who directed the first Woody Woodpecker cartoon ?
2,CNN is an acronym for what ?
OTHERS,What is the origin of the name Igor ?
1,What was the first Gilbert and Sullivan opera ?
5,Where in the United States do people live the longest ?
5,What country in 1998 had the most suicides regardless of population size ?
4,What is the price for tuberculosis drugs ?
4,What was the first minimum wage ?
OTHERS,What is the difference between a college and a university ?
1,What substance did Joseph Priestley name for its ability to erase pencil marks ?
OTHERS,What are the limits to `` self-defense ? ''
OTHERS,How can I get my product licensed by the NBA ?
1,What fast food is prepared with a `` secret blend of 11 herbs and spices ? ''
OTHERS,What effect does a prism have on light ?
4,How many people lived in Nebraska in the mid 1900s ?
OTHERS,What is software piracy ?
4,What year was Janet Jackson 's first album released ?
OTHERS,How do you calculate the change in enthalpy of a chemical reaction ?
4,How many movies has Drew Barrymore been in ?
OTHERS,What TV character sired a horse named Thunder ?
OTHERS,What are some children 's rights ?
5,What is the name of the planet that the Ewoks live on ?
OTHERS,What baseball player was known as Charley Hustle ?
OTHERS,Who killed Lee Harvey Oswald ?
1,What 's the symbol for the zodiacal sign Gemini ?
OTHERS,Who was Red Grange ?
OTHERS,What hockey team did Wayne Gretzky play for ?
1,What series of trials followed World War II ?
OTHERS,Who invented the fax machine ?
4,How wide is the Atlantic Ocean ?
OTHERS,How is the element strontium purified ?
OTHERS,Who wrote the poem that starts `` I love your lips when they 're wet with wine and red with a warm desire '' ?
OTHERS,What singer 's theme song was When the Moon Comes over the Mountain ?
OTHERS,How did Peabody and Sherman travel through time ?
OTHERS,Who was Santos-Dumont ?
4,How many meters are in a mile ?
1,What is a fear of money ?
4,About how many soldiers died in World War II ?
OTHERS,Who is Rocky 's and Bullwinkle 's ever-lost friend ?
OTHERS,Who is Robin Williams ?
OTHERS,Who thought he 'd never see a poem lovely as a tree ?
5,"What celestial body has a diameter of 864 , 000 miles ?"
1,The operating system that runs on IBM-compatible machines is called what ?
OTHERS,What was the Ventura County police department that seized the county 's largest amount of cocaine ever ?
1,What is the name of the Family Circus 's dog ?
1,What did Martin Luther post on the church door at Wittenberg ?
OTHERS,What is the meaning of the name Kathryn ?
OTHERS,Name one of the major gods of Hinduism .
5,What country borders Denmark to the south ?
1,"What dropped 1 , 313 feet in 1980 ?"
1,What is the name of the vaccine for chicken pox ?
OTHERS,What two US biochemists won the Nobel Prize in medicine in 1992 ?
5,Where do you find the answers for all these questions ?
OTHERS,What is thermal equilibrium ?
1,"What is a term for behavior , appearance , or expression that violates the accepted standards of sexual morality ?"
OTHERS,What fast-food magnate 's initials graced the left sleeve of the San Diego Padres ' baseball uniforms in 1984 ?
4,How many neurons are in the human brain ?
1,What is a fear of reptiles ?
1,What does Knight Ridder publish ?
5,What city is . KDGE Radio located in ?
1,What can one see in Reims ?
5,What city was Bobby Kennedy assassinated in ?
1,What 's the highest possible bid in Contract Bridge ?
OTHERS,What is the medical condition of hypertension ?
5,What London museum features a Chamber of Horrors ?
5,What city is served by McCarren Airport ?
4,How many lakes are there on the Earth ?
OTHERS,What is Doegs ?
OTHERS,Who else was considered for the role of Luke Skywalker when George Lucas was casting for Star Wars ?
1,What two major world religions began in India ?
4,How many pounds are there in a stone ?
1,What kind of poisoning is known as plumbism ?
1,What is the greatest source of `` white '' magic in the Marvel Universe ?
OTHERS,How do I find if my relatives were on the Trail of Tears ?
4,What amount of folic acid should an expectant mother take daily ?
OTHERS,How do you select wine ?
OTHERS,Who was the king who signed the Magna Carta ?
4,"How many miles is it from Frankfurt , Germany to Salzburg , Austria ?"
4,How many chairs are shown in Vincent Van Gogh 's 188 work The Artist 's Room in Arles ?
1,What is a fear of stings ?
1,Jude Law was in what movie ?
5,What state on the Gulf of Mexico has its lowest point five feet below sea level ?
1,What was the name of Robert Fulton 's most famous steamboat ?
5,Where can I find a case on Americans with Disabilities Act of 199 ?
OTHERS,Who is the leader of India ?
OTHERS,Who is the prophet that is most connected to the Dead Sea ?
4,What are the chances of pregnacy if the penis does not penetrate the vagina ?
OTHERS,What is infomatics ?
OTHERS,What is the purpose of BIOS ?
5,Where is the Keck telescope ?
1,What is the name of the kids ' show from Canadian Public TV with the singing pineapple ?
5,"Where are the apartments in Saint John , New Brunswick ?"
OTHERS,Who wrote `` The Pit and the Pendulum '' ?
5,What are some good medical sites for information ?
1,What does a resurrectionist steal ?
OTHERS,Why did the Shea & Gould law firm leave Los Angeles ?
OTHERS,What is the best art and design school in the world ?
1,What two vegetables are combined in succotash ?
OTHERS,Who is the Incredible Hulk in reality ?
1,Which infectious disease kills the most people worldwide ?
4,What month did the Edmund Fitzgerald sink ?
OTHERS,What manufacturers are there in Texas ?
OTHERS,Who are the presidents of Mexico and Indonesia ?
OTHERS,Who played Al Jolson in the Jolson Story ?
OTHERS,What is a pig in a poke ?
5,Where were the 196 Summer Olympics held ?
5,Where is Los Vegas ?
5,Name the country which Honecker lived in .
5,What U.S. state are the Finger Lakes in ?
OTHERS,What is a cullion ?
5,What are the ten safest American cities for pedestrians ?
OTHERS,What TV detective did Craig Stevens play ?
OTHERS,What are the most common causes of death in the U.S. ?
OTHERS,What university fired Angela Davis ?
5,What U.S. state does the Continental Divide leave to enter Canada ?
OTHERS,In the past 8 years who have the MVP players for the NHL been ?
1,"In AD 999 , what sort of celebrations , fears , were there ?"
OTHERS,Who played Emperor Palpatine in Star Wars ?
5,What 's the name of the Wilkes plantation in Gone with the Wind ?
5,Where is the Statistical Abstract of the United States online ?
OTHERS,What is barnstorming ?
1,What 's the dumbest domesticated animal ?
OTHERS,What was the importance of Magellan ?
4,When was the Brandenburg Gate in Berlin built ?
OTHERS,What do I have to do to get good grades in school ?
OTHERS,"Whose husbands have included Conrad Hilton Jr. , and Michael Wilding ?"
2,What does the number `` 5 '' stand for on FUBU clothing ?
OTHERS,Who is King in Alley Oop 's home of Moo ?
1,What four tastes can a human distinguish ?
OTHERS,What is `` the airline built for professional travelers '' ?
1,What two vessels fought the first sea battle between iron-covered ships ?
4,What percentage of the silver production is done by independent silversmiths ?
OTHERS,What is the origin of the term `` buffalo wings '' that is used as a menu item in bars across the nation for chicken wings in a spicey sauce ?
4,What date is Boxing Day ?
4,How many inches tall is Stuart Little at birth ?
1,What 1953 film won Frank Sinatra a best supporting actor Oscar ?
4,How many Stradivarius violins were ever made ?
OTHERS,What type of childhood did Jules Verne have ?
OTHERS,Who invented the stock ticker in 1870 ?
OTHERS,What is a leper ?
5,What was Einstein 's birthplace ?
1,What was George Washington afraid of ?
OTHERS,Who wrote the Bible ?
1,What are the top 5 fiction books of all time ?
OTHERS,What are the `` Star Wars '' satellites ?
4,What debts did Qintex group leave ?
OTHERS,"Which U.S. President is buried in Washington , D.C. ?"
1,What is the term for someone who hates mankind ?
1,What did San Francisco 's Milt Harper grow that measured 24 inches from tip to tip in 1974 ?
5,Where are the Austerlitz and Victor Hugo subway stops ?
5,Where did Ty Cobb grow up ?
OTHERS,What is a philanthropist ?
OTHERS,What is a portal ?
1,What Tom Wolfe book is about the Mercury astronauts ?
1,What cooking oil has `` corn goodness '' ?
4,"What is the per-capita income of Colombia , South America ?"
4,How many types of cheese are there in France ?
4,How many websites are there in the world ?
1,What is the term that describes a word where only one usage has been recorded in all literature ?
OTHERS,Who made the first airplane ?
1,What measures did Clinton take to avoid the draft ?
4,How many points is a disk in the center hole worth in Crokinole ?
OTHERS,How do websites like Yahoo and Excite make money ?
5,What general direction does the journey in Around the World in 80 Days proceed in ?
OTHERS,How do they produce vitamins ?
OTHERS,"The lawyer who represented Randy Craft , what was his name ?"
1,What do penguins eat ?
OTHERS,What organization is the Security Council a part of ?
5,What is New England 's highest mountain ?
1,What TV station did Mary Richards work for ?
OTHERS,What does idle mean ?
OTHERS,"What was the claim to fame of the football game that saw Fordham defeat Waynesburg State 12601 on September 3 , 1939 ?"
OTHERS,What is a serigraph ?
1,What football bowl game 's first queen was Hallie Woods ?
OTHERS,Who was the first black to be head coach of a major league pro sports team ?
OTHERS,"Who is John Macarthur , 1767-1834 ?"
4,What year did the War of 1812 begin ?
1,What racehorse won an Associated Press poll as the greatest horse of the 20th century ?
OTHERS,"What are the words to the cd Eminem 's , or slim shady , `` My Name Is '' ?"
1,What does Final Four refer to in the sports world ?
OTHERS,Who is Peter Weir ?
1,What medium is Stuart Hamblen the first singing cowboy in ?
OTHERS,What is the meaning of `` subaru ? ''
4,How many verses are in the Bible ?
OTHERS,What is endometriosis ?
OTHERS,What is a geoscientist ?
OTHERS,What robust U.S. President imported his own instructor after seeing a judo match ?
1,What are all the different types of pizza ?
5,In what nation is Edessa located nowadays ?
5,Name a country that is developing a magnetic levitation railway system ?
2,What does BTU mean ?
OTHERS,What government department did The Untouchables work for ?
1,"What drink is made up of rum , coconut milk and pineapple ?"
OTHERS,What is the VDRL test of blood ?
4,What seven digits follow the area code in the number for long distance information ?
OTHERS,What was the player 's name who played nose tackle for the Eagles in Super Bowl XV ?
5,Where is the largest dam in the world ?
OTHERS,Who held the endurance record for women pilots in 1929 ?
OTHERS,What did Andy Hardy 's father do for a living ?
4,Independent silversmith 's account for what percentage of silver production ?
OTHERS,Why is hockey so violent ?
5,In what part of the world is Mozambique ?
OTHERS,Who are Woody Woodpecker 's niece and nephew ?
1,What film opens with an assassin tumbling from the Seattle Space Needle ?
OTHERS,Who created Maudie Frickett ?
OTHERS,What is a leaky heart valve ?
OTHERS,How can I give myself a French manicure ?
OTHERS,Who was the first English circumnavigator of the globe ?
OTHERS,What is the definition of the Scrabble word ` syzygy ' ?
4,What is the salary of a U.S. Representative ?
OTHERS,Who made the largest cocaine seizure in Ventura County history ?
5,What man-made waterways is 1.76 miles long ?
OTHERS,Who liberated 19th century Sicily and Naples ?
5,On what river is Strasbourg built ?
4,"What 's the maximum length , in inches , of a first baseman 's glove ?"
5,What country is located at 13 degrees North latitude and 10 degrees East longitude ?
5,Where are the busiest ports in the world ?
4,What is the pig population of the world ?
OTHERS,How does the car in `` Christine '' become possessed ?
5,What city does McCarren Airport serve ?
4,What is the most number of goals scored by a single team in an NHL hockey game ?
1,What rabbit got its name because its ears resembled those of a jackass ?
1,Aspartame is also called what ?
1,What is a fear of trees ?
4,How many dollars a day did Arthur Frommer say you could get by on in Europe in 1968 ?
1,What holidays or observances are celebrated in Italy ?
OTHERS,Who appointed the chair of the Federal Reserve ?
OTHERS,Why do people shake hands to show friendliness ?
2,"In a computer , what does SCSI mean ?"
1,"To get the most caffeine , what soda should I drink ?"
OTHERS,Why do they call it a `` funny bone '' ?
5,"Where can I find up-to-date coastal ocean surface temperature information , preferably along North America and the Caribbean ?"
OTHERS,What exactly is radiation ?
5,What are the two cities in Dicken 's `` A Tale of Two Cities '' ?
OTHERS,Who is Samuel F. Pickering ?
OTHERS,What English queen had six fingers on one hand ?
5,What river runs through Liverpool ?
1,What kind of nuts are used in marzipan ?
4,When did Mount St. Helens last erupt ?
1,What does a polyorchid man have at least three of ?
OTHERS,"What exactly , specifically does sleep do for you ?"
4,When was child labor abolished ?
4,How many three-letter permutations can be made from the four letters : c ?
4,What time of year is air travel the heaviest ?
OTHERS,What does a red flag mean in auto racing ?
5,What 's the longest river in Canada ?
